rank,ID,Full Name,NOC,DScore,EScore,Penalty,TotalScore,E_Penalty,event
73.0,249,DOLGOPYAT Artem,ISR,5.5,6.2410000000000005,,11.741,6.241,ph
74.0,196,KOSKI Elias,FIN,4.6,7.132999999999999,,11.733,7.133000000000001,ph
75.0,193,CARD Franz,FIN,3.5,8.133,,11.633,8.133,ph
76.0,199,BORELLO Antoine,FRA,4.6,7.0329999999999995,,11.633,7.0329999999999995,ph
77.0,303,SKJERAHAUG Stian,NOR,4.9,6.733,,11.633,6.732999999999999,ph
77.0,383,ABDURAKHIMOV Rasuljon,UZB,4.9,6.733,,11.633,6.732999999999999,ph
79.0,256,EDALLI Ludovico,ITA,5.4,6.233,,11.633,6.232999999999999,ph
80.0,324,BATAGA Cristian Ioan,ROU,6.3,5.332999999999999,,11.633,5.332999999999999,ph
81.0,235,SHEPPARD Ryan Macleod,HUN,4.3,7.3,,11.6,7.3,ph
82.0,318,HAN Chung Hyo,PRK,5.2,6.3660000000000005,,11.566,6.3660000000000005,ph
83.0,248,REINHARDSSON Valgard,ISL,3.6,7.9,,11.5,7.9,ph
84.0,146,ALEKSANDROV Yordan,BUL,4.6,6.9,,11.5,6.9,ph
85.0,380,MOLDAUER Yul,USA,4.7,6.8,,11.5,6.8,ph
86.0,338,DEJANOVIC Bojan,SRB,4.2,7.266,,11.466,7.265999999999999,ph
87.0,275,JANTYKOV Yerbol,KAZ,3.8,7.6,,11.4,7.6000000000000005,ph
88.0,234,KARDOS Botond,HUN,4.3,7.1,,11.4,7.1000000000000005,ph
89.0,137,SANUVONH Dzianis,BLR,4.6,6.8,,11.4,6.800000000000001,ph
90.0,195,KIRMES Oskar,FIN,4.1,7.266,,11.366,7.266,ph
91.0,148,COURNOYER Rene,CAN,5.2,6.166,,11.366,6.1659999999999995,ph
92.0,107,DAVTYAN Artur,ARM,5.5,5.8660000000000005,,11.366,5.866,ph
92.0,289,LOO Phay Xing,MAS,5.5,5.8660000000000005,,11.366,5.866,ph
94.0,147,CLAY Zachary,CAN,5.8,5.566,,11.366,5.566,ph
95.0,287,TVOROGAL Robert,LTU,4.6,6.7,,11.3,6.700000000000001,ph
96.0,167,KUSAN Leonardo,CRO,5.1,6.2,,11.3,6.200000000000001,ph
97.0,341,VEFIC Petar,SRB,4.2,7.066,,11.266,7.066,ph
98.0,254,SOROKINE Michael,ISR,4.3,6.966,,11.266,6.966,ph
99.0,320,RI Yong Min,PRK,4.8,6.466,,11.266,6.466,ph
100.0,375,VASYLENKO Maksym,UKR,5.2,6.066,,11.266,6.066,ph
101.0,220,NGUYEN Marcel,GER,4.8,6.433,,11.233,6.433000000000001,ph
102.0,322,ALDYANI Ahmed,QAT,5.4,5.832999999999999,,11.233,5.833,ph
103.0,120,KRANZLMUELLER Severin,AUT,3.9,7.3,,11.2,7.299999999999999,ph
104.0,376,VERNIAIEV Oleg,UKR,5.1,6.1,,11.2,6.1,ph
105.0,178,PONIZIL Daniel,CZE,3.4,7.766,,11.166,7.766,ph
106.0,121,SCHWAB Matthias,AUT,4.3,6.8660000000000005,,11.166,6.8660000000000005,ph
107.0,144,SOUZA Caio,BRA,5.3,5.8660000000000005,,11.166,5.8660000000000005,ph
108.0,128,TIKHONOV Ivan,AZE,5.5,5.666,,11.166,5.666,ph
109.0,118,HOECK Vinzenz,AUT,4.2,6.957999999999999,,11.158,6.957999999999999,ph
110.0,306,DICK Ethan,NZL,4.5,6.632999999999999,,11.133,6.632999999999999,ph
111.0,104,MAYOL Santiago,ARG,4.6,6.466,,11.066,6.466000000000001,ph
112.0,222,CHATZIEFSTATHIOU Georgios Christos,GRE,5.2,5.8660000000000005,,11.066,5.8660000000000005,ph
113.0,239,McCLENAGHAN Rhys,IRL,6.1,4.966,,11.066,4.966000000000001,ph
114.0,392,PHAN Ngoc Hung,VIE,4.8,6.2,,11,6.2,ph
115.0,232,BABOS Adam,HUN,4.9,6.1,,11,6.1,ph
116.0,272,TANIGAWA Wataru,JPN,5.5,5.5,,11,5.5,ph
117.0,350,BROMAN William,SWE,3.7,7.266,,10.966,7.265999999999999,ph
118.0,203,GOBAUX Julien,FRA,4.9,6.066,,10.966,6.065999999999999,ph
119.0,181,SOLOVJEV Svjatoslav,CZE,4.0,6.95,,10.95,6.949999999999999,ph
120.0,211,ABESADZE Saba,GEO,4.6,6.3,,10.9,6.300000000000001,ph
121.0,307,DYSON Devy,NZL,4.2,6.666,,10.866,6.6659999999999995,ph
122.0,163,MARTINEZ MORENO Andres,COL,4.7,6.132999999999999,,10.833,6.133,ph
122.0,315,ALMEIDA Simao,POR,4.7,6.132999999999999,,10.833,6.133,ph
124.0,329,MUNTEAN Andrei Vasile,ROU,4.2,6.6,,10.8,6.6000000000000005,ph
125.0,215,KUZOVKOV Konstantin,GEO,5.0,5.8,,10.8,5.800000000000001,ph
126.0,265,ABU AL SOUD Ahmad,JOR,5.5,5.3,,10.8,5.300000000000001,ph
127.0,227,TANTALIDIS Antonios,GRE,5.2,5.5329999999999995,,10.733,5.533,ph
128.0,142,de SOUZA BITENCOURT Lucas,BRA,4.8,5.9,,10.7,5.8999999999999995,ph
128.0,286,KUZMICKAS Tomas,LTU,4.8,5.9,,10.7,5.8999999999999995,ph
130.0,124,AGHARZAYEV Murad,AZE,5.0,5.7,,10.7,5.699999999999999,ph
131.0,114,MASON STEPHENS Clay,AUS,3.6,7.066,,10.666,7.066000000000001,ph
132.0,246,BALDURSSON Eythor,ISL,2.8,7.832999999999999,,10.633,7.832999999999999,ph
133.0,309,KOUDINOV Mikhail,NZL,3.9,6.7,,10.6,6.699999999999999,ph
134.0,279,BAE Garam,KOR,4.2,6.4,,10.6,6.3999999999999995,ph
135.0,316,ALMEIDA Bernardo,POR,4.5,6.0,,10.5,6.0,ph
136.0,223,ILIOPOULOS Nikolaos,GRE,3.6,6.791,,10.391,6.791,ph
137.0,260,SARRUGERIO Marco,ITA,3.8,6.5329999999999995,,10.333,6.533,ph
138.0,302,KALVOE Odin,NOR,4.6,5.733,,10.333,5.7330000000000005,ph
139.0,189,MIR Nicolau,ESP,3.7,6.6,,10.3,6.6000000000000005,ph
140.0,290,de LUNA Fabian,MEX,4.1,6.166,,10.266,6.166,ph
141.0,213,GOVOROV Dmitrii,GEO,5.0,5.266,,10.266,5.266,ph
142.0,160,CALVO Carlos,COL,4.1,6.132999999999999,,10.233,6.133000000000001,ph
143.0,298,RIJKEN Frank,NED,4.2,6.0329999999999995,,10.233,6.033,ph
144.0,314,AGUIAR BARBOSA Petrix Stevan,POR,4.4,5.832999999999999,,10.233,5.833,ph
145.0,135,ANTROPAU Raman,BLR,5.4,4.833,,10.233,4.833,ph
146.0,138,SHARAMKOU Yahor,BLR,4.4,5.8,,10.2,5.799999999999999,ph
147.0,285,GUSCINAS Rokas,LTU,5.3,4.8660000000000005,,10.166,4.8660000000000005,ph
148.0,202,FRASCA Loris,FRA,4.5,5.6,,10.1,5.6,ph
149.0,190,LOPEZ Ruben,ESP,4.8,5.3,,10.1,5.3,ph
150.0,253,SHATILOV Alexander,ISR,4.7,5.3660000000000005,,10.066,5.3660000000000005,ph
151.0,212,ARSENIEV Vitalii,GEO,3.9,6.132999999999999,,10.033,6.132999999999999,ph
152.0,122,SEREINIG Fabio,AUT,4.7,5.332999999999999,,10.033,5.332999999999999,ph
153.0,131,KUAVITA Noah,BEL,4.0,6.0,,10,6.0,ph
154.0,282,LEE Junho,KOR,4.2,5.8,,10,5.8,ph
155.0,152,ZAKUTNEY Samuel,CAN,4.7,5.3,,10,5.3,ph
156.0,365,ARCA Mustafa,TUR,3.7,6.266,,9.966,6.265999999999999,ph
157.0,263,LEWIS Stephen,JAM,4.1,5.8660000000000005,,9.966,5.866,ph
158.0,175,KRASIAS Michalis,CYP,5.4,4.566,,9.966,4.565999999999999,ph
159.0,391,PHAM Phuoc Hung,VIE,4.2,5.733,,9.933,5.733,ph
160.0,243,AL-DULAIMI Yasir,IRQ,3.8,6.1,,9.9,6.1000000000000005,ph
161.0,354,VANSTROEM Kim,SWE,3.9,6.0,,9.9,6.0,ph
162.0,176,KYRIAKOU Neofytos,CYP,3.4,6.4910000000000005,,9.891,6.491,ph
163.0,224,KRANITIS Nikolaos,GRE,3.1,6.766,,9.866,6.766,ph
164.0,244,AL-DULAIMI Abdullah,IRQ,4.8,5.066,,9.866,5.066,ph
165.0,165,VARGAS Erick,COL,4.7,5.132999999999999,,9.833,5.133,ph
166.0,113,COSTIN Scott,AUS,3.8,5.966,,9.766,5.966,ph
167.0,340,PAUNOVIC Milos,SRB,4.4,5.3660000000000005,,9.766,5.366,ph
168.0,247,GUNNARSSON Jon,ISL,3.1,6.632999999999999,,9.733,6.633000000000001,ph
169.0,390,le Thanh Tung,VIE,3.3,6.4,,9.7,6.3999999999999995,ph
170.0,321,RI Wi Chol,PRK,3.8,5.9,,9.7,5.8999999999999995,ph
171.0,384,ABDUSAMATOV Khusniddin,UZB,4.5,5.2,,9.7,5.199999999999999,ph
172.0,336,TAY Wei An Terry,SGP,3.8,5.8660000000000005,,9.666,5.8660000000000005,ph
173.0,363,YU Chao Wei,TPE,3.7,5.9,,9.6,5.8999999999999995,ph
174.0,342,VELICKOVIC Petar,SRB,4.6,5.0,,9.6,5.0,ph
175.0,161,CALVO MORENO Jossimar Orlando,COL,4.2,5.266,,9.466,5.265999999999999,ph
176.0,103,JATO Julian,ARG,3.1,6.2,,9.3,6.200000000000001,ph
177.0,109,KHACHATRYAN Vigen,ARM,4.4,4.9,,9.3,4.9,ph
178.0,132,van den KEYBUS Luka,BEL,4.4,4.8660000000000005,,9.266,4.866,ph
