,DScore,DScore,DScore,DScore,DScore,DScore,DScore,DScore,E_Penalty,E_Penalty,E_Penalty,E_Penalty,E_Penalty,E_Penalty,E_Penalty,E_Penalty
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
event,,,,,,,,,,,,,,,,
fx,200.0,5.229499999999998,0.6199203628543,2.7,4.9,5.3,5.6,6.8,200.0,7.71642,0.7483152021768937,3.8329999999999997,7.4,7.9495,8.2,8.708
hb,197.0,4.931979695431474,0.7578451187910469,1.9,4.4,4.9,5.5,6.4,197.0,7.48057360406091,0.7694773610026598,2.366,7.1000000000000005,7.633000000000001,8.0,8.5
pb,189.0,5.144444444444444,0.80532359911453,2.2,4.7,5.2,5.7,6.7,189.0,8.003349206349203,0.7370133047977049,4.833,7.633,8.133,8.565999999999999,9.332999999999998
ph,202.0,4.720792079207921,0.915082774352707,2.0,4.1,4.7,5.4,6.7,202.0,6.184787128712873,1.4867475601776525,0.3660000000000001,5.749750000000001,6.391500000000001,7.133,8.533
sr,194.0,4.870103092783509,0.8305893966295822,2.1,4.324999999999999,4.9,5.5,6.3,194.0,7.802180412371136,0.9710368121749002,2.3000000000000003,7.699999999999999,8.0165,8.299999999999999,8.965999999999998
