rank,ID,Full Name,NOC,DScore,EScore,Penalty,TotalScore
99,234,KARDOS Botond,HUN,5.4,7.766,,13.166
100,348,YUSOF Eddy,SUI,5.3,7.933,-0.1,13.133
101,150,PATERSON Cory,CAN,5.3,7.833,,13.133
101,261,BECKFORD Reiss,JAM,5.3,7.833,,13.133
103,199,BORELLO Antoine,FRA,5,8.1,,13.1
104,227,TANTALIDIS Antonios,GRE,5.5,7.9,-0.3,13.1
105,186,CHIRIBOGA Israel,ECU,4.7,8.366,,13.066
106,145,ZANETTI Arthur,BRA,5.8,7.566,-0.3,13.066
107,161,CALVO MORENO Jossimar Orlando,COL,5.6,7.566,-0.1,13.066
108,106,VILLAFANE Daniel,ARG,5.6,7.466,,13.066
109,116,REMKES Christopher,AUS,6.2,6.866,,13.066
110,152,ZAKUTNEY Samuel,CAN,5.3,7.733,,13.033
111,136,LIKHOVITSKIY Andrey,BLR,4.8,8.5,-0.3,13
112,297,LOUWIJE Bram,NED,4.8,8.2,,13
113,307,DYSON Devy,NZL,4.9,8.1,,13
114,104,MAYOL Santiago,ARG,5.1,7.9,,13
114,314,AGUIAR BARBOSA Petrix Stevan,POR,5.1,7.9,,13
116,257,LODADIO Marco,ITA,5.4,7.6,,13
116,290,de LUNA Fabian,MEX,5.4,7.6,,13
118,393,IDESJOE Karl,SWE,4.8,8.166,,12.966
119,253,SHATILOV Alexander,ISR,5.6,7.666,-0.3,12.966
120,309,KOUDINOV Mikhail,NZL,5.1,7.833,,12.933
121,155,LIN Chaopan,CHN,6,7.233,-0.3,12.933
122,389,DINH Phuong Thanh,VIE,4.7,8.2,,12.9
123,235,SHEPPARD Ryan Macleod,HUN,5.1,7.8,,12.9
124,102,CORDOBA Nicolas,ARG,4.4,8.466,,12.866
125,135,ANTROPAU Raman,BLR,4.9,8.066,-0.1,12.866
126,223,ILIOPOULOS Nikolaos,GRE,4.7,8.133,,12.833
126,339,JURKOVIC Nikola,SRB,4.7,8.133,,12.833
128,120,KRANZLMUELLER Severin,AUT,4.1,8.633,,12.733
129,391,PHAM Phuoc Hung,VIE,4.6,8.133,,12.733
130,387,TOSHPULATOV Bobur,UZB,4.8,7.933,,12.733
131,259,RUSSO Andrea,ITA,4.8,7.9,,12.7
132,382,YODER Alec,USA,5.3,7.666,-0.3,12.666
133,211,ABESADZE Saba,GEO,5.1,7.666,-0.1,12.666
134,215,KUZOVKOV Konstantin,GEO,5,7.666,,12.666
135,181,SOLOVJEV Svjatoslav,CZE,4.8,8.133,-0.3,12.633
136,374,RADIVILOV Igor,UKR,5.4,7.833,-0.6,12.633
137,319,RI Se Gwang,PRK,5,7.566,,12.566
138,342,VELICKOVIC Petar,SRB,5.2,7.366,,12.566
139,146,ALEKSANDROV Yordan,BUL,4.7,7.833,,12.533
140,385,AZIMOV Abdulla,UZB,5.2,7.733,-0.4,12.533
141,292,RAZO PADILLA Patricio,MEX,5,7.533,,12.533
142,263,LEWIS Stephen,JAM,5.1,7.4,,12.5
143,330,BELYAVSKIY David,RUS,5.7,6.8,,12.5
144,175,KRASIAS Michalis,CYP,4.8,7.866,-0.2,12.466
145,390,le Thanh Tung,VIE,4.6,7.866,,12.466
146,294,VALLE Joshua,MEX,4.7,7.766,,12.466
147,305,WIBYE Harald,NOR,5.2,7.266,,12.466
148,218,HERDER Philipp,GER,5.8,6.766,-0.1,12.466
149,160,CALVO Carlos,COL,5.2,7.533,-0.3,12.433
150,108,DAVTYAN Vahagn,ARM,4,8.708,-0.3,12.408
151,341,VEFIC Petar,SRB,4.5,7.9,,12.4
151,355,ALSOULIMAN Yazan,SYR,4.5,7.9,,12.4
153,224,KRANITIS Nikolaos,GRE,5.3,7.266,-0.2,12.366
154,315,ALMEIDA Simao,POR,5,7.633,-0.3,12.333
155,170,UDE Filip,CRO,3.9,8.7,-0.3,12.3
156,163,MARTINEZ MORENO Andres,COL,5.5,6.866,-0.1,12.266
157,240,SMITH Andrew,IRL,4.8,7.733,-0.3,12.233
158,267,NAGHOUJ Saleem,JOR,4.5,7.8,-0.1,12.2
159,327,SZABO Rafael,ROU,4.8,7.4,,12.2
160,165,VARGAS Erick,COL,5,7.2,,12.2
161,386,KHAMROKULOV Akobir,UZB,4.6,7.666,-0.1,12.166
162,121,SCHWAB Matthias,AUT,5.2,6.866,,12.066
163,241,STEELE Adam,IRL,5,7.333,-0.3,12.033
164,254,SOROKINE Michael,ISR,4.8,7.233,,12.033
