rank,ID,Full Name,NOC,DScore,EScore,Penalty,TotalScore
96,195,KIRMES Oskar,FIN,4.7,8.166,,12.866
97,129,GENTGES Maxime,BEL,4.9,7.966,,12.866
98,251,MEDVEDEV Andrey,ISR,4.8,8.033,,12.833
99,140,BARRETTO JUNIOR Francisco,BRA,4.9,7.933,,12.833
100,175,KRASIAS Michalis,CYP,4.2,8.6,,12.8
101,383,ABDURAKHIMOV Rasuljon,UZB,4.7,8.1,,12.8
102,314,AGUIAR BARBOSA Petrix Stevan,POR,5.1,7.7,,12.8
103,276,KARIMI Milad,KAZ,4.5,8.266,,12.765999999999998
103,278,MUSSAYEV Akim,KAZ,4.5,8.266,,12.765999999999998
105,150,PATERSON Cory,CAN,4.7,8.066,,12.765999999999998
106,142,de SOUZA BITENCOURT Lucas,BRA,5.5,7.266,,12.765999999999998
107,320,RI Yong Min,PRK,5.6,7.166,,12.765999999999998
108,146,ALEKSANDROV Yordan,BUL,4.8,7.933,,12.732999999999999
109,104,MAYOL Santiago,ARG,5.0,7.733,,12.732999999999999
110,353,RUMBUTIS David,SWE,4.3,8.416,,12.716
111,193,CARD Franz,FIN,4.2,8.5,,12.7
112,247,GUNNARSSON Jon,ISL,4.6,8.1,,12.7
113,211,ABESADZE Saba,GEO,4.8,7.9,,12.7
114,135,ANTROPAU Raman,BLR,4.0,8.633,,12.633
115,309,KOUDINOV Mikhail,NZL,4.6,8.033,,12.633
116,305,WIBYE Harald,NOR,4.1,8.5,,12.6
117,136,LIKHOVITSKIY Andrey,BLR,4.6,8.0,,12.6
118,232,BABOS Adam,HUN,4.9,7.7,,12.6
119,222,CHATZIEFSTATHIOU Georgios Christos,GRE,4.4,8.166,,12.565999999999999
120,212,ARSENIEV Vitalii,GEO,4.6,7.966,,12.565999999999999
121,303,SKJERAHAUG Stian,NOR,4.5,8.033,,12.533
122,199,BORELLO Antoine,FRA,4.6,7.933,,12.533
122,366,ARICAN Ferhat,TUR,4.6,7.933,,12.533
124,131,KUAVITA Noah,BEL,4.7,7.832999999999999,,12.533
124,301,HEGGEMSNES Sofus,NOR,4.7,7.832999999999999,,12.533
126,227,TANTALIDIS Antonios,GRE,4.0,8.525,,12.525
127,235,SHEPPARD Ryan Macleod,HUN,4.3,8.2,,12.5
128,114,MASON STEPHENS Clay,AUS,4.2,8.266,,12.466
129,128,TIKHONOV Ivan,AZE,5.0,7.466,,12.466
130,291,NUNEZ Isaac,MEX,4.5,7.933,,12.433
131,103,JATO Julian,ARG,4.2,8.2,,12.4
131,112,BULL Tyson,AUS,4.2,8.2,,12.4
133,386,KHAMROKULOV Akobir,UZB,4.9,7.466,,12.366
134,340,PAUNOVIC Milos,SRB,5.1,7.266,,12.366
135,262,FAULK Caleb,JAM,4.9,7.433,,12.333
136,124,AGHARZAYEV Murad,AZE,4.4,7.9,,12.3
