rank,ID,Full Name,NOC,DScore,EScore,Penalty,TotalScore
94,193,CARD Franz,FIN,4.5,8.033,,12.533
95,309,KOUDINOV Mikhail,NZL,4.9,7.632999999999999,,12.533
96,324,BATAGA Cristian Ioan,ROU,5.1,7.433,,12.533
97,260,SARRUGERIO Marco,ITA,4.6,7.9,,12.5
97,322,ALDYANI Ahmed,QAT,4.6,7.9,,12.5
99,316,ALMEIDA Bernardo,POR,4.9,7.6,,12.5
100,291,NUNEZ Isaac,MEX,5.1,7.3660000000000005,,12.466
101,301,HEGGEMSNES Sofus,NOR,4.1,8.333,,12.433
102,241,STEELE Adam,IRL,4.5,7.933,,12.433
103,380,MOLDAUER Yul,USA,5.0,7.433,,12.433
104,391,PHAM Phuoc Hung,VIE,4.4,8.0,,12.4
105,366,ARICAN Ferhat,TUR,5.2,7.2,,12.4
106,274,AZIZOV Ilyas,KAZ,4.1,8.266,,12.366
107,376,VERNIAIEV Oleg,UKR,4.9,7.466,,12.366
108,254,SOROKINE Michael,ISR,5.1,7.266,,12.366
109,196,KOSKI Elias,FIN,4.4,7.933,,12.333
110,360,SHIAO Yu-Jan,TPE,4.0,8.3,,12.3
111,119,KRANZLMUELLER Lukas,AUT,4.3,8.0,,12.3
111,306,DICK Ethan,NZL,4.3,8.0,,12.3
113,287,TVOROGAL Robert,LTU,5.3,7.0,,12.3
114,353,RUMBUTIS David,SWE,4.2,8.066,,12.265999999999998
115,328,KOTRONG Adelin,ROU,4.4,7.8660000000000005,,12.265999999999998
116,375,VASYLENKO Maksym,UKR,5.3,6.966,,12.265999999999998
117,282,LEE Junho,KOR,5.5,6.766,,12.265999999999998
118,389,DINH Phuong Thanh,VIE,5.2,7.0329999999999995,,12.232999999999999
119,205,BEVAN Brinn,GBR,5.5,6.733,,12.232999999999999
120,135,ANTROPAU Raman,BLR,4.8,7.4,,12.2
121,320,RI Yong Min,PRK,5.4,6.8,,12.2
122,104,MAYOL Santiago,ARG,4.5,7.666,,12.165999999999999
123,261,BECKFORD Reiss,JAM,4.8,7.3660000000000005,,12.165999999999999
124,308,ELLIS Kyleab,NZL,4.1,8.033,,12.133
125,107,DAVTYAN Artur,ARM,4.3,7.832999999999999,,12.133
126,317,HAN Jong Hyok,PRK,6.0,6.132999999999999,,12.133
127,134,VROLIX Jonathan,BEL,4.0,8.066,,12.065999999999999
127,354,VANSTROEM Kim,SWE,4.0,8.066,,12.065999999999999
129,139,TSIARESHCHANKA Kiryl,BLR,4.7,7.3660000000000005,,12.065999999999999
130,338,DEJANOVIC Bojan,SRB,4.0,8.0,,12.0
131,137,SANUVONH Dzianis,BLR,4.8,7.2,,12.0
132,259,RUSSO Andrea,ITA,5.0,7.0,,12.0
133,369,ONDER Ahmet,TUR,5.1,6.9,,12.0
134,170,UDE Filip,CRO,4.2,7.766,,11.966
135,250,KORCHAK Ilan,ISR,4.5,7.466,,11.966
136,305,WIBYE Harald,NOR,4.6,7.332999999999999,,11.933
137,220,NGUYEN Marcel,GER,5.5,6.433,,11.933
138,352,LIDBECK Filip,SWE,3.7,8.2,,11.9
139,304,STIANSEN Henrik,NOR,4.1,7.8,,11.9
140,129,GENTGES Maxime,BEL,4.9,7.3,-0.3,11.9
141,113,COSTIN Scott,AUS,3.8,8.0,,11.8
142,189,MIR Nicolau,ESP,4.7,7.1,,11.8
143,318,HAN Chung Hyo,PRK,5.1,6.7,,11.8
144,221,TOBA Andreas,GER,5.6,6.2,,11.8
145,214,JIMSHELEISHVILI Ioane,GEO,4.2,7.5329999999999995,,11.732999999999999
146,292,RAZO PADILLA Patricio,MEX,4.4,7.332999999999999,,11.732999999999999
147,177,CERNY Frantisek,CZE,4.7,7.0329999999999995,,11.732999999999999
148,278,MUSSAYEV Akim,KAZ,4.4,7.3,,11.7
149,105,MOLINARI Federico,ARG,4.6,7.1,,11.7
150,367,COLAK Ibrahim,TUR,4.9,6.8,,11.7
151,284,PARK Minsoo,KOR,5.4,6.3,,11.7
152,215,KUZOVKOV Konstantin,GEO,3.7,7.966,,11.665999999999999
153,327,SZABO Rafael,ROU,3.9,7.766,,11.665999999999999
154,127,SIMONOV Nikita,AZE,4.6,7.066,,11.665999999999999
155,109,KHACHATRYAN Vigen,ARM,4.0,7.632999999999999,,11.633
155,357,SURINTORNTA Tikumporn,THA,4.0,7.632999999999999,,11.633
157,383,ABDURAKHIMOV Rasuljon,UZB,4.3,7.332999999999999,,11.633
