rank,ID,Full Name,NOC,DScore,EScore,Penalty,TotalScore
101,220,NGUYEN Marcel,GER,4.8,6.433,,11.233
102,322,ALDYANI Ahmed,QAT,5.4,5.833,,11.233
103,120,KRANZLMUELLER Severin,AUT,3.9,7.3,,11.2
104,376,VERNIAIEV Oleg,UKR,5.1,6.1,,11.2
105,178,PONIZIL Daniel,CZE,3.4,7.766,,11.166
106,121,SCHWAB Matthias,AUT,4.3,6.866,,11.166
107,144,SOUZA Caio,BRA,5.3,5.866,,11.166
108,128,TIKHONOV Ivan,AZE,5.5,5.666,,11.166
109,118,HOECK Vinzenz,AUT,4.2,6.958,,11.158
110,306,DICK Ethan,NZL,4.5,6.633,,11.133
111,104,MAYOL Santiago,ARG,4.6,6.466,,11.066
112,222,CHATZIEFSTATHIOU Georgios Christos,GRE,5.2,5.866,,11.066
113,239,McCLENAGHAN Rhys,IRL,6.1,4.966,,11.066
114,392,PHAN Ngoc Hung,VIE,4.8,6.2,,11
115,232,BABOS Adam,HUN,4.9,6.1,,11
116,272,TANIGAWA Wataru,JPN,5.5,5.5,,11
117,350,BROMAN William,SWE,3.7,7.266,,10.966
118,203,GOBAUX Julien,FRA,4.9,6.066,,10.966
119,181,SOLOVJEV Svjatoslav,CZE,4,6.95,,10.95
120,211,ABESADZE Saba,GEO,4.6,6.3,,10.9
121,307,DYSON Devy,NZL,4.2,6.666,,10.866
122,163,MARTINEZ MORENO Andres,COL,4.7,6.133,,10.833
122,315,ALMEIDA Simao,POR,4.7,6.133,,10.833
124,329,MUNTEAN Andrei Vasile,ROU,4.2,6.6,,10.8
125,215,KUZOVKOV Konstantin,GEO,5,5.8,,10.8
126,265,ABU AL SOUD Ahmad,JOR,5.5,5.3,,10.8
127,227,TANTALIDIS Antonios,GRE,5.2,5.533,,10.733
128,142,de SOUZA BITENCOURT Lucas,BRA,4.8,5.9,,10.7
128,286,KUZMICKAS Tomas,LTU,4.8,5.9,,10.7
130,124,AGHARZAYEV Murad,AZE,5,5.7,,10.7
131,114,MASON STEPHENS Clay,AUS,3.6,7.066,,10.666
132,246,BALDURSSON Eythor,ISL,2.8,7.833,,10.633
133,309,KOUDINOV Mikhail,NZL,3.9,6.7,,10.6
134,279,BAE Garam,KOR,4.2,6.4,,10.6
135,316,ALMEIDA Bernardo,POR,4.5,6,,10.5
136,223,ILIOPOULOS Nikolaos,GRE,3.6,6.791,,10.391
137,260,SARRUGERIO Marco,ITA,3.8,6.533,,10.333
138,302,KALVOE Odin,NOR,4.6,5.733,,10.333
139,189,MIR Nicolau,ESP,3.7,6.6,,10.3
140,290,de LUNA Fabian,MEX,4.1,6.166,,10.266
141,213,GOVOROV Dmitrii,GEO,5,5.266,,10.266
142,160,CALVO Carlos,COL,4.1,6.133,,10.233
143,298,RIJKEN Frank,NED,4.2,6.033,,10.233
144,314,AGUIAR BARBOSA Petrix Stevan,POR,4.4,5.833,,10.233
145,135,ANTROPAU Raman,BLR,5.4,4.833,,10.233
146,138,SHARAMKOU Yahor,BLR,4.4,5.8,,10.2
